"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7890.80933510491,5.09742107840869,0.000204185758701387,5.22942308355019
"2","GTR","relaxed_log_normal","yule",-7914.2754257114,5.61848406588218,1.31471550846503e-14,9.18359455070556
"3","GTR","strict","birth_death",-7899.19153772848,4.02487132104926,0.0000000467391814819009,9.71735905712175
"4","GTR","strict","yule",-7912.70901529289,6.75687112046275,6.29673167702669e-14,11.9175650762163
"5","HKY","relaxed_log_normal","birth_death",-7888.98809201764,4.64140833684354,0.00126177311981306,7.0601321270248
"6","HKY","relaxed_log_normal","yule",-7893.16492291904,3.90272760934997,0.0000193645165451163,7.92439492099605
"7","HKY","strict","birth_death",-7895.27244377138,5.30594046647595,0.00000235354215877028,6.49264686585969
"8","HKY","strict","yule",-7893.88952056544,4.0083914039422,0.00000938248544616488,6.76381387892839
"9","JC69","relaxed_log_normal","birth_death",-7888.2230775373,4.0053797182985,0.00271158260091861,4.8061900381826
"10","JC69","relaxed_log_normal","yule",-7885.8266388649,4.40372042434982,0.0297839936218274,8.13493955194027
"11","JC69","strict","birth_death",-7882.36089069372,3.19375122529681,0.953099488810409,5.44625772724568
"12","TN93","relaxed_log_normal","birth_death",-7886.66364038553,4.11893012309232,0.0128966759747359,4.97508866252985
"13","TN93","relaxed_log_normal","yule",-7901.66557555041,5.4560860641123,0.00000000393749602595459,8.26003969758156
"14","TN93","strict","birth_death",-7893.7173963678,4.0851237866039,0.0000111447540510651,10.029875714363
"15","TN93","strict","yule",-7901.61575335132,5.14615710032224,0.00000000413863984486009,8.73623354160584
