"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6291.40566988744,5.13293435402793,0.000000245592722725129,8.22982089520225
"2","GTR","relaxed_log_normal","yule",-6306.02921606466,6.77741539043659,1.09468730906901e-13,6.62065317483107
"3","GTR","strict","birth_death",-6293.80591080995,5.17199497187161,0.0000000222743021209986,11.8114479053464
"4","GTR","strict","yule",-6304.33581484039,6.61746447850057,5.95284933201621e-13,8.58190952833107
"5","HKY","relaxed_log_normal","birth_death",-6291.29199662302,5.46183240816595,0.000000275158647041842,8.33801123311214
"6","HKY","relaxed_log_normal","yule",-6289.0707679575,5.20512140058471,0.00000253659141246654,5.0471287300205
"7","HKY","strict","birth_death",-6293.55490825374,5.12481144153837,0.0000000286294583205193,12.7192194623362
"8","HKY","strict","yule",-6287.94320812435,5.30231513723918,0.00000783327784896724,6.44479178588212
"9","JC69","relaxed_log_normal","birth_death",-6280.69954497244,4.44976918477207,0.0109604015900289,5.69102387170507
"10","JC69","relaxed_log_normal","yule",-6277.82383132444,4.08700037185607,0.194416462148241,7.25951735217288
"11","JC69","strict","birth_death",-6276.43439965916,4.36719577674707,0.780109454054916,6.19016558698192
"12","TN93","relaxed_log_normal","birth_death",-6288.38310270772,5.19499757547211,0.00000504544807729863,9.1025833817531
"13","TN93","relaxed_log_normal","yule",-6280.93456947682,4.25916926821439,0.0086647616700723,10.1966400577741
"14","TN93","strict","birth_death",-6281.33031413754,5.13336098956404,0.00583293180913623,6.54512859654529
"15","TN93","strict","yule",-6296.34719939927,5.95957080254345,0.00000000175443181683049,8.16566825654919
