Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-8045.245008808996	-8022.459787268879	-22.785221540116805	-8022.459787268879	6.346645274817242	26.16018726766575	1.0957270280874878	0.25350405611230487	0.24478893265623206	0.25413533758226203	0.24757167364920152	-15.240665262337195	0.0703564530199134	
1	-8042.190590058633	-8021.02354447191	-21.167045586722583	-8021.02354447191	6.196909139197235	26.16018726766575	0.7582877410810296	0.25368991748615827	0.24090695467125553	0.26095849373429053	0.2444446341082962	-13.733184626842341	0.19906289184039447	
2	-8042.190590058633	-8021.02354447191	-21.167045586722583	-8021.02354447191	6.196909139197235	26.16018726766575	0.7582877410810296	0.25368991748615827	0.24090695467125553	0.26095849373429053	0.2444446341082962	-13.733184626842341	0.19906289184039447	
3	-8042.190590058633	-8021.02354447191	-21.167045586722583	-8021.02354447191	6.196909139197235	26.16018726766575	0.7582877410810296	0.25368991748615827	0.24090695467125553	0.26095849373429053	0.2444446341082962	-13.733184626842341	0.19906289184039447	
4	-8039.8494623508195	-8018.047591321849	-21.80187102897114	-8018.047591321849	5.936078774429186	25.49590969432364	1.0583353870203602	0.2502069555827667	0.23774227103563872	0.25116336354305646	0.26088740983853875	-14.334240978241976	0.09422196164151087	
5	-8038.532618130082	-8017.902125767014	-20.630492363068104	-8017.902125767014	5.226862902478024	25.23959085688822	1.0583353870203602	0.2390454337052707	0.23746750268527844	0.2530671948632617	0.2704198687461898	-13.187409658430116	0.18822904479624505	
6	-8038.532618130082	-8017.902125767014	-20.630492363068104	-8017.902125767014	5.226862902478024	25.23959085688822	1.0583353870203602	0.2390454337052707	0.23746750268527844	0.2530671948632617	0.2704198687461898	-13.187409658430116	0.18822904479624505	
7	-8039.0749888029995	-8017.446216890935	-21.62877191206501	-8017.446216890935	6.863095966759277	26.34372073906101	0.9686595646904316	0.2505464936089844	0.24395223958978052	0.2493536197282194	0.2561476470730163	-14.113801137772317	0.1565949064828279	
