"tree","inference_model","inference_model_weight","site_model","clock_model","tree_prior","error_1","error_2","error_3","error_4"
"true","generative",NA,"JC69","strict","yule",0.318870306462488,0.0600400245976896,0.0162704341104909,0.0428828665060525
"true","candidate",0.811268724182863,"JC69","strict","birth_death",0.318870306462488,0.0190094078803534,0.0126696645525787,0.0257186880377399
"twin","generative",NA,"JC69","strict","yule",0.0986244663999464,0.00767067435601837,0.0179326078266731,0.0140010786835809
"twin","candidate",0.940088289269423,"HKY","relaxed_log_normal","coalescent_exp_population",0.0858197027616853,0.00935498100932391,0.0275092644250006,0.0103111917674011
