Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	
0	-6269.576618572968	-6264.123362391156	-5.453256181812169	-6264.123362391156	0.908715411819343	1.2946560562711966	0.8418302896835331	0.24378055364650159	0.21906652067176893	0.26959886259498844	0.26755406308674123	-2.467280130518331	2.0105500690283598	
1	-6269.576618572968	-6264.123362391156	-5.453256181812169	-6264.123362391156	0.908715411819343	1.2946560562711966	0.8418302896835331	0.24378055364650159	0.21906652067176893	0.26959886259498844	0.26755406308674123	-2.467280130518331	2.0105500690283598	
2	-6269.576618572968	-6264.123362391156	-5.453256181812169	-6264.123362391156	0.908715411819343	1.2946560562711966	0.8418302896835331	0.24378055364650159	0.21906652067176893	0.26959886259498844	0.26755406308674123	-2.467280130518331	2.0105500690283598	
3	-6269.694995875019	-6262.724028281233	-6.970967593786299	-6262.724028281233	0.9868010415390087	1.123971402320724	0.9672480119718627	0.24643977895674188	0.22109112526601743	0.2703235193551143	0.26214557642212655	-4.011993479859692	3.3028805999648463	
4	-6267.227599822232	-6261.485723879348	-5.7418759428841994	-6261.485723879348	0.9686844716531413	1.3993818953945374	1.1307216877806627	0.24247879932317742	0.2394903652099135	0.26819796439558224	0.249832871071327	-2.611549286008753	1.7471528538797014	
5	-6267.491415233078	-6260.342175088133	-7.149240144944818	-6260.342175088133	1.080440917129741	1.2176607603175575	1.1307216877806627	0.2504357922244751	0.23785738685154106	0.261873949852657	0.249832871071327	-4.092712187404835	2.680925095382633	
6	-6265.84446425211	-6260.317221864535	-5.52724238757515	-6260.317221864535	0.9386039437571212	1.2176607603175575	1.1307216877806627	0.24922224012658328	0.23405656236216232	0.2577768935432104	0.2589443039680442	-2.4707144300351676	1.711174145639304	
7	-6264.51547726363	-6258.961663377879	-5.553813885750726	-6258.961663377879	0.9483379565595562	1.0456507816703449	1.1097738878955588	0.25196127400253043	0.24048749603141312	0.24701240138104155	0.26053882858501504	-2.5719740624111154	1.6628887904607206	
8	-6264.51547726363	-6258.961663377879	-5.553813885750726	-6258.961663377879	0.9483379565595562	1.0456507816703449	1.1097738878955588	0.25196127400253043	0.24048749603141312	0.24701240138104155	0.26053882858501504	-2.5719740624111154	1.6628887904607206	
