#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment_evidence" name="distribution" x="@BDBirthRate.t:twin_alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment_evidence" name="distribution" x="@BDDeathRate.t:twin_alignment_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:twin_alignment_evidence" name="distribution">
#            <parameter id="kappa.s:twin_alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_evidence" id="treeLikelihood.twin_alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_evidence">
#            <siteModel id="SiteModel.s:twin_alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:twin_alignment_evidence" kappa="@kappa.s:twin_alignment_evidence" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:twin_alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
0	-10551.528036500824	-10546.975496039699	-10551.528036500824	4.552540461125842	-10551.528036500824	0.12202381535885005	4.524558813743022	0.23541185702943884	0.25603423324297647	0.27211289705443975	0.23644101267314502	7.287218043744111	4.901482422927147	0.4767621930816111
1	-8064.302656632723	-8064.816762538722	-8064.302656632723	-0.514105905999346	-8064.302656632723	0.31162401269351897	4.486315449466867	0.25206278496327283	0.24858190029222071	0.2653133689169743	0.2340419458275322	2.2093384321685168	3.9024768182926866	0.10737094117958029
2	-7589.820693166347	-7592.681303665039	-7589.820693166347	-2.860610498691905	-7589.820693166347	0.38120544598286615	5.064429526780449	0.26101197393822695	0.23885314304578087	0.2653133689169743	0.23482151409901797	0.027612122081478674	5.38600055194847	0.3081813871619552
3	-7354.740373323038	-7355.197730059555	-7354.740373323038	-0.4573567365176323	-7354.740373323038	0.39841008809633	0.8122168684824196	0.2807678272294423	0.23885314304578087	0.26120585704479765	0.21917317267997927	0.9436925744151183	1.9750680962200513	0.21152843566155347
4	-7333.868985210655	-7338.439675233339	-7333.868985210655	-4.570690022683141	-7333.868985210655	0.7141183365395927	0.4605392656862253	0.2896785948444311	0.23179530262478196	0.26421029868864615	0.21431580384214094	-3.1953593236635074	0.7745380875698229	0.36875809454998554
5	-6855.015913138682	-6857.5214603100985	-6855.015913138682	-2.505547171416592	-6855.015913138682	0.527645403575641	1.1802753497174678	0.2902764612112665	0.22545849672213727	0.26246732472155593	0.22179771734504047	-0.9750047516262887	1.8471771586202286	0.24707805522159107
6	-6842.315836394201	-6849.988538073383	-6842.315836394201	-7.672701679182032	-6842.315836394201	2.017857184486193	1.944439854442029	0.2918197883188307	0.2315141110806273	0.2612214241687449	0.21544467643179727	-5.829728064811103	0.4411259519971906	0.7047397501341844
7	-6720.718867589979	-6725.101804994969	-6720.718867589979	-4.382937404990284	-6720.718867589979	0.7263916956599776	0.7070118893032606	0.27864716862929517	0.23913718403302703	0.26086097351299314	0.22135467382468488	-3.007204112466127	1.7473261093603405	0.2316955265612343
8	-6629.818390332015	-6634.765691966131	-6629.818390332015	-4.947301634116398	-6629.818390332015	0.6170558333766223	1.7785400688347144	0.2919236505318452	0.23829677943642044	0.2451393375392179	0.22464023249251666	-3.1718421596743793	2.28125135805621	0.33809138918580983
9	-6493.4765570424415	-6496.019945552839	-6493.4765570424415	-2.543388510397353	-6493.4765570424415	0.49843692287189834	1.2940396470232995	0.3316047040097073	0.24014561899965645	0.2049622980522054	0.22328737893843104	-0.967247318284618	2.7053728159956063	0.0991421971221467
10	-6489.836790006382	-6492.800120450425	-6489.836790006382	-2.9633304440435104	-6489.836790006382	0.6239557801684672	0.460048687122598	0.3341138984059573	0.24966464510294925	0.1835210525050802	0.23270040398601352	-1.5878541899097318	1.444311871712418	0.43193295278489435
11	-6381.325068200566	-6384.060799962352	-6381.325068200566	-2.7357317617850154	-6381.325068200566	0.7089881412472145	0.7645252433023322	0.3449350160347995	0.2430033332119413	0.17840428588847915	0.2336573648647803	-1.347240201445338	1.8907741258863278	0.4154419259964944
12	-6381.011606402227	-6385.568078444495	-6381.011606402227	-4.556472042268283	-6381.011606402227	0.6893528921884848	1.2821052655539604	0.33574794039102324	0.25315660103953297	0.17947598251192068	0.2316194760575234	-2.985167438989544	4.256559408046518	0.20704173667651155
13	-6354.13777504296	-6359.297345562396	-6354.13777504296	-5.159570519435581	-6354.13777504296	0.7821268201359046	0.8457616161543127	0.32641914404644806	0.26248539738410814	0.1865843795235521	0.22451107904589196	-3.748814918648242	3.456233667660055	0.3738489317652614
