"","x"
"1",0.0220949836698108
"2",0.033156414367389
"3",0.0223913566728261
"4",0.0143741325592276
"5",0.0246043559054062
"6",0.0183754651301411
"7",0.00329502288203158
"8",0.0535607251067226
"9",0.0137962367349308
"10",0.0203659667769619
"11",0.0254880068991765
"12",0.00818096660424552
"13",0.0350922617962725
"14",0.0440856262214876
"15",0.0250043694374817
"16",0.0506067725424783
"17",0.0295179056991101
"18",0.00750943653018119
"19",0.0121691520142174
"20",0.00500451086483307
"21",0.0222364926549767
"22",0.00991444589559654
"23",0.0280197145055108
"24",0.0140444633387638
"25",0.0220784344290712
"26",0.0231933464903262
"27",0.00347288294765566
"28",0.00979397002446653
"29",0.0550673683269768
"30",0.046748368984838
"31",0.0447029202772266
"32",0.0218999794696972
"33",0.0216916733864692
"34",0.0540755552635871
"35",0.0257663464088047
"36",0.00893568860418514
"37",0.0095184835503628
"38",0.0208314075609974
"39",0.033707952161633
"40",0.0172119840577125
"41",0.0144175868975188
"42",0.0139739471756325
"43",0.00893599906770832
"44",0.00922530410702598
"45",0.0201128323643366
"46",0.0151439852080871
"47",0.0188976267892027
"48",0.0277748242199586
"49",0.0254464525676
"50",0.00494650474959499
"51",0.0207586119485675
"52",0.0230464527030136
"53",0.0140588110518974
"54",0.0239746481242714
"55",0.0100128710653927
"56",0.0262461120800141
"57",0.0114476461788391
"58",0.00784779130346376
"59",0.0127682262816568
"60",0.0107566376249252
"61",0.0045970015452597
"62",0.00674490815912876
"63",0.00656617633526679
"64",0.0110229590835121
"65",0.0100147987845482
"66",0.0307804506446521
"67",0.00610083895627658
"68",0.0157307668619831
"69",0.0224286011387626
"70",0.0110937323688147
"71",0.0177030110289477
"72",0.0136399401852083
"73",0.00927120907242169
"74",0.0140511269189578
"75",0.00956656944518241
"76",0.0270989283856708
"77",0.00863168351250696
"78",0.0220588650476509
"79",0.00404834479426028
"80",0.026304076378243
"81",0.0181391357888462
"82",0.0100712774124492
"83",0.00983349025300568
"84",0.00612474750521048
"85",0.0231696224177415
"86",0.00649495264207947
"87",0.00902170657505887
"88",0.0108889052735088
"89",0.0104863582672974
"90",0.00862709543789255
"91",0.0283012318652536
"92",0.0173590169758056
"93",0.0204410978078487
"94",0.0206047475933563
"95",0.0559272647768019
"96",0.0339905920395082
"97",0.023324890582075
"98",0.011452751036441
"99",0.0243322369765277
"100",0.0187896494113465
"101",0.0459077823482278
"102",0.00926574908556292
"103",0.0261498467474437
"104",0.0228604430509876
"105",0.0192209062428812
"106",0.0177678886965652
"107",0.0312252695726229
"108",0.0259822384034191
"109",0.0280731161139226
"110",0.0161337280811908
"111",0.0675353164486466
"112",0.0231666197442983
"113",0.00364412074092082
"114",0.0236544323027627
"115",0.0199891552187308
"116",0.0283074015340697
"117",0.0194911058557049
"118",0.00980650917155352
"119",0.0269985056031641
"120",0.00723875011527104
"121",0.00587997637816322
"122",0.014291191347805
"123",0.0120371610987936
"124",0.00471602564099924
"125",0.0161748130281805
"126",0.026205546188864
"127",0.0332583163883243
"128",0.0239862207796282
"129",0.0178150092799737
"130",0.0298607276392099
"131",0.0310734227365423
"132",0.0206272026409648
"133",0.00597653809482426
"134",0.0288369835749991
"135",0.026575444364979
"136",0.0121132392606048
"137",0.0414889331893433
"138",0.0144427321439786
"139",0.00705417681514509
"140",0.00788704651804502
"141",0.0186847964092723
"142",0.0224099902294367
"143",0.00331408580198254
"144",0.00166812397038922
"145",0.0316597704364131
"146",0.00715298138015212
"147",0.0194466283028266
"148",0.0252955555099627
"149",0.0203012593886423
"150",0.0144444317498636
"151",0.00961839633137558
"152",0.0187635014969776
"153",0.0178858902331094
"154",0.0732410394361181
"155",0.0145148731980943
"156",0.0281872032558692
"157",0.0236311308595559
"158",0.0108104681910348
"159",0.0081353797954693
"160",0.0291877688665779
"161",0.0225834052876776
"162",0.00825812835551571
"163",0.024719975726269
"164",0.0046627134319575
"165",0.0191890611388
"166",0.0645057153753951
"167",0.002068212298289
"168",0.0421128341847747
"169",0.0106723771784811
"170",0.0142753297884493
"171",0.021857190741493
"172",0.0166238930824599
"173",0.00865696965806717
"174",0.0130536765070498
"175",0.0157382370214389
"176",0.00807688826590487
"177",0.029049918940721
"178",0.0301031302331074
"179",0.0209211985680067
"180",0.0307701642057295
"181",0.0204791319255219
"182",0.0156364204116657
"183",0.00226228474652716
"184",0.0312929536260955
"185",0.027021113176002
"186",0.0136123171855416
"187",0.00525430818529873
"188",0.0149458933406683
"189",0.0212224884245679
"190",0.0431081091577184
"191",0.0176912326398364
"192",0.0112530593535366
"193",0.025270776675168
"194",0.00675423287782719
"195",0.0153132200671594
"196",0.0353516657221714
"197",0.0118843353841909
"198",0.0363519793857475
"199",0.0249836690225827
"200",0.036882383345307
"201",0.0189670912650492
"202",0.0166662450572512
"203",0.00767608532978623
"204",0.0322680709976603
"205",0.00457158954106371
"206",0.0168555898870737
"207",0.00486664881721417
"208",0.00777572719675818
"209",0.0126996133927837
"210",0.0130439325749991
"211",0.0517647828090713
"212",0.00725681920688526
"213",0.0155926573303243
"214",0.0590672768097916
"215",0.0214645515830929
"216",0.00839215757729952
"217",0.0071934150709021
"218",0.0144611537742431
"219",0.0182056762825976
"220",0.0262757735694705
"221",0.0228705317183174
"222",0.0173496610790425
"223",0.0080374852201871
"224",0.0197238523906752
"225",0.0220986792836158
"226",0.00605921312684634
"227",0.0238451818454702
"228",0.021141459244572
"229",0.0233646547353674
"230",0.00927294928314726
"231",0.00475875282956206
"232",0.0155865143168641
"233",0.0230504953772169
"234",0.0194329672327059
"235",0.0504389474121638
"236",0.0466081270899203
"237",0.0129552409202871
"238",0.0100722079942406
"239",0.000775296858725549
"240",0.0157596904416286
"241",0.0142245904456823
"242",0.0293519851077709
"243",0.0363717024761962
"244",0.0322848853799488
"245",0.0234596484276377
"246",0.00581146070244658
"247",0.00879738230749229
"248",0.00716446541348823
"249",0.0285758551075482
"250",0.021461426751002
"251",0.017775336329645
"252",0.00520347583928895
"253",0.01206834933315
"254",0.00937886069927314
"255",0.0103076766532921
"256",0.0124337427121103
"257",0.0100349110625512
"258",0.0238399681988015
"259",0.00935704595115785
"260",0.0165036866497042
"261",0.00448608735262597
"262",0.0259724967235178
"263",0.00765741798667425
"264",0.023079132303776
"265",0.0169738271204532
"266",0.00253554345650293
"267",0.0194766337873647
"268",0.0232956739271848
"269",0.0114004141928571
"270",0.0200101445083099
"271",0.0485573260828842
"272",0.0376501539811334
"273",0.0241477723733203
"274",0.00838062994110571
"275",0.0283544362115365
"276",0.0099911458456355
"277",0.0245501219493132
"278",0.0441231469467136
"279",0.00840120360208039
"280",0.0261025636915013
"281",0.0279359336238248
"282",0.0191512338328895
"283",0.0151133342976003
"284",0.00961919546199794
"285",0.0214809597352287
"286",0.0179199429260663
"287",0.0205541068385712
"288",0.0164864899028618
"289",0.0143216416367145
"290",0.015555027994311
"291",0.0113925409907952
"292",0.0158246461847741
"293",0.0258477208957274
"294",0.0328045695757948
"295",0.0212311812132158
"296",0.0140016506987528
"297",0.0204018542819424
"298",0.0157616590575243
"299",0.0315086758334029
"300",0.0073714621592623
"301",0.00579334838660899
"302",0.0232828184156688
"303",0.0110242146580831
"304",0.0184808715583727
"305",0.0109692542966017
"306",0.0114884766276933
"307",0.00755208794406486
"308",0.00596465191765079
"309",0.0187839755654103
"310",0.00417397077462394
"311",0.0197291394610186
"312",0.0213528847270168
"313",0.0272102478606744
"314",0.0164210834146468
"315",0.0168135849998853
"316",0.00765739346098784
"317",0.0188308668538807
"318",0.00531582337149048
"319",0.0292304025881593
"320",0.0280262676812913
"321",0.0285513403576741
"322",0.0279997839709997
"323",0.00899143211448847
"324",0.00676079285533
"325",0.00233429291347951
"326",0.00382722175298344
"327",0.00918404758812126
"328",0.00753854540252705
"329",0.0173978679921149
"330",0.0309566889062079
"331",0.00861356334861967
"332",0.0216802865070321
"333",0.0102797116229234
"334",0.00913080499462899
"335",0.0102387847337966
"336",0.0216427420080535
"337",0.0150395894877565
"338",0.0388364590119916
"339",0.0291225081795859
"340",0.0326544005549924
"341",0.0381102114978959
"342",0.0385139714485131
"343",0.010035988118031
"344",0.0410481084759314
"345",0.0295485746929217
"346",0.0216472089007598
"347",0.00938058898972369
"348",0.0125532869995504
"349",0.0106419497899314
"350",0.0266111287554503
"351",0.0188700529394214
"352",0.0100691042680449
"353",0.00881859815899908
"354",0.034400812305212
"355",0.014921760669031
"356",0.00547854480048229
"357",0.0270388796704706
"358",0.0344084863291922
"359",0.031398612344291
"360",0.0839571864067375
"361",0.063560159197094
"362",0.0831075072718061
"363",0.026122453729323
"364",0.0111102514011344
"365",0.0133000514978021
"366",0.017918949183077
"367",0.0259622393922438
"368",0.00789678986529787
"369",0.00603930607925105
"370",0.0157335500227778
"371",0.0199431744074502
"372",0.0196146920496965
"373",0.0389013395545043
"374",0.0153590320123889
"375",0.0264870849974603
"376",0.0275524882978367
"377",0.0133590091296698
"378",0.0124499474399624
"379",0.020520085117454
"380",0.0128392519428675
"381",0.0436195266944014
"382",0.0245681593145266
"383",0.014005734422931
"384",0.00970687030717432
"385",0.0353560185302451
"386",0.00725910461808787
"387",0.0299109581965052
"388",0.0185269587639327
"389",0.0418950689949821
"390",0.0122476361512928
"391",0.0107131523125536
"392",0.00236919892257463
"393",0.0218743216803667
"394",0.0304406724333888
"395",0.0206365717263133
"396",0.00414501108069685
"397",0.0202842032270614
"398",0.0258258470865905
"399",0.012923128147958
"400",0.0366396028599641
"401",0.0185926598185799
"402",0.0141784709524489
"403",0.0101126012974394
"404",0.0190204906138942
"405",0.0171324193757739
"406",0.0248191936791324
"407",0.0438962998254363
"408",0.0140487515902574
"409",0.00716355787571079
"410",0.0199479634973786
"411",0.018125781764776
"412",0.0290446555002052
"413",0.0378657698849663
"414",0.0179224452790288
"415",0.0134736084715265
"416",0.0128944367321419
"417",0.0449082999551744
"418",0.0157747873816723
"419",0.0164892633063641
"420",0.0424050383732745
"421",0.00885434135958594
"422",0.00160052003451547
"423",0.0240997395917186
"424",0.0468023308577784
"425",0.012751278867122
"426",0.0344637954586482
"427",0.0150927899179993
"428",0.00321965980860368
"429",0.00242657284029828
"430",0.00466668872413008
"431",0.0179152820701991
"432",0.0439966171629834
"433",0.0029242323264199
"434",0.0146590317826355
"435",0.0229238951103879
"436",0.0341599637600181
"437",0.015496488473946
"438",0.0155247965166276
"439",0.0186066420605349
"440",0.0261303226706765
"441",0.0142572027968604
"442",0.0157156725620617
"443",0.0353374096753059
"444",0.022001599956406
"445",0.0304377048354623
"446",0.00438566385769412
"447",0.0115093868424794
"448",0.0203736947409043
"449",0.0322863361566242
"450",0.00766552776425071
"451",0.014713937140782
"452",0.00603588333157519
"453",0.0188236948247166
"454",0.0310629048444063
"455",0.0134385403148518
"456",0.00554518841425207
"457",0.0142467222124987
"458",0.0308112003153473
"459",0.0344469655079284
"460",0.0211365079062057
"461",0.0242891249029971
"462",0.0105551456677831
"463",0.019912028115994
"464",0.0390330085019234
"465",0.021247457234656
"466",0.0454193339097214
"467",0.0227998327143258
"468",0.00695081888744773
"469",0.00301645981672443
"470",0.0350163168401643
"471",0.0113051300229793
"472",0.0186704312325059
"473",0.0279977529406913
"474",0.0112649537910582
"475",0.0334240076362735
"476",0.0144697957862445
"477",0.00774245684189949
"478",0.0178555289434157
"479",0.0309035004081777
"480",0.0159862882497154
"481",0.00982401738384118
"482",0.0139784042566411
"483",0.0145623854938901
"484",0.0150186057381881
"485",0.00315874073563551
"486",0.00451843053884202
"487",0.0242436640080695
"488",0.0222509813239432
"489",0.00394598700109368
"490",0.0174299749753684
"491",0.0484445883848077
"492",0.0304182334977842
"493",0.0272570927098424
"494",0.058501425370702
"495",0.0171646464639229
"496",0.035597732973367
"497",0.0237589655604888
"498",0.030161398200131
"499",0.0178638318300967
"500",0.0153055574522058
"501",0.0428542783207653
"502",0.00759729375817553
"503",0.00414344403241018
"504",0.0125060712426019
"505",0.00464689528062197
"506",0.0216608798468098
"507",0.041120992212362
"508",0.0210013882848361
"509",0.0242794799146281
"510",0.0111261152579512
"511",0.0211437428917149
"512",0.00443359997026893
"513",0.00519481194638116
"514",0.00524524234442012
"515",0.002132525716635
"516",0.00828914620063228
"517",0.00574307733881052
"518",0.0228250899933224
"519",0.00765957284447112
"520",0.0251432822228296
"521",0.0324818663999391
"522",0.0195957592773648
"523",0.00827845429497054
"524",0.00462296494688898
"525",0.0157959458125928
"526",0.0216423073111237
"527",0.0106469930320223
"528",0.00844626238614596
"529",0.00676936760950231
"530",0.0119796444055723
"531",0.0299991541118365
"532",0.0141699457347398
"533",0.00427192971139341
"534",0.0293735651546428
"535",0.0163463680245546
"536",0.0190498152893325
"537",0.0101966675971545
"538",0.0146281723847193
"539",0.00821116186785082
"540",0.00924585258746964
"541",0.0227342590449404
"542",0.00746144142280836
"543",0.0302648169406556
"544",0.0143595867722744
"545",0.0243341577017413
"546",0.0320117918110336
"547",0.00327430151778143
"548",0.0399337093171024
"549",0.0158698945682447
"550",0.0234707853432172
"551",0.0404413914485652
"552",0.0850939478362169
"553",0.0104984730738454
"554",0.00220642299065881
"555",0.016354641079803
"556",0.0381012608522186
"557",0.0200809330341305
"558",0.0162027296854793
"559",0.00976271073500765
"560",0.0124924144700001
"561",0.0233398407129466
"562",0.0138611327706463
"563",0.0150642329653011
"564",0.0238492664752666
"565",0.0168567046901103
"566",0.00594082329492438
"567",0.0179538655472875
"568",0.0279557803517807
"569",0.00820854401102959
"570",0.0114779234043057
"571",0.0153772542355469
"572",0.0114442676015
"573",0.0471660653616125
"574",0.0262351478725871
"575",0.00886104733851578
"576",0.0326842795455742
"577",0.0428492915011523
"578",0.00906911706686091
"579",0.00413028373428577
"580",0.0105251498720091
"581",0.0121707977068238
"582",0.0111972681770999
"583",0.0159998070848016
"584",0.0116406188169915
"585",0.0255941336367417
"586",0.0120790125943697
"587",0.0153431284903859
"588",0.0177972660309681
"589",0.00984425619184546
"590",0.00922343155193353
"591",0.016478903165911
"592",0.0214185583251468
"593",0.00544489991651973
"594",0.0191406370730928
"595",0.0181106224074245
"596",0.0207185195279326
"597",0.00990119461722008
"598",0.0211033426545899
"599",0.0830594195777456
"600",0.0139823464096861
"601",0.0139250248446136
"602",0.0117904659687078
"603",0.0419573087027387
"604",0.00829984252535372
"605",0.0260158547753131
"606",0.00582264067319478
"607",0.00628930781018897
"608",0.00987357171458574
"609",0.0133718097810758
"610",0.0415401556802875
"611",0.0139213201627905
"612",0.0131320321203096
"613",0.0212535418474208
"614",0.0262351466553082
"615",0.017237822526157
"616",0.0200258513505274
"617",0.00794879118812526
"618",0.0344112850234653
"619",0.0130482496749524
"620",0.0136068054170246
"621",0.0263456847430925
"622",0.021718440602175
"623",0.01012364216134
"624",0.0192621996775539
"625",0.0235191508852847
"626",0.00494967372979804
"627",0.0366684712752154
"628",0.0213108831914171
"629",0.0192470079220904
"630",0.0118793359444651
"631",0.0426298602868282
"632",0.0319943111933262
"633",0.0275343768647505
"634",0.00347111485727012
"635",0.0162408745763232
"636",0.0146901609425117
"637",0.0289754847481318
"638",0.00498926538160218
"639",0.0364522400799292
"640",0.0153363966684296
"641",0.033959953669642
"642",0.00474127778319644
"643",0.00986723118809984
"644",0.0134872648512092
"645",0.00618505117297081
"646",0.00829446158157465
"647",0.0056133094526811
"648",0.0158641091193052
"649",0.035913968335166
"650",0.0345833077156959
"651",0.0258400870644214
"652",0.0416612126670914
"653",0.0171300430121901
"654",0.0185872788887146
"655",0.00642944364428557
"656",0.0126686218383995
"657",0.0133940130181829
"658",0.0243598276501749
"659",0.0227836864885433
"660",0.00455478096886765
"661",0.0170633143259765
"662",0.0142753096906132
"663",0.00956967502731818
"664",0.0127602463607187
"665",0.0191159945494807
"666",0.00969509388734528
"667",0.0079262451956617
"668",0.0218658064002023
"669",0.00756098231257338
"670",0.0190106362535332
"671",0.0098884502048516
"672",0.0213051637197146
"673",0.0265316085871088
"674",0.00439052817193206
"675",0.0225515455337476
"676",0.0234514273492348
"677",0.0245065603981043
"678",0.00721305516869544
"679",0.0216884069161223
"680",0.0335646740942526
"681",0.0358747314640109
"682",0.00802230346328801
"683",0.0225059167055008
"684",0.00678774734218679
"685",0.0283144725490191
"686",0.00849839861331212
"687",0.00313315411638009
"688",0.0319363583439493
"689",0.0499888779923528
"690",0.014353366710629
"691",0.0269672762214443
"692",0.0263263199169774
"693",0.0384623758769732
"694",0.0105471387051231
"695",0.0196206854479301
"696",0.0533784339435091
"697",0.053294533444258
"698",0.024607644577705
"699",0.0376419280620594
"700",0.0237842162166047
"701",0.0199023938962057
"702",0.0367806284641126
"703",0.0106532582045955
"704",0.0121157989871534
