Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6326.380046408442	2.9	-6321.520404203059	-4.85964220538256	
1	-6325.127362853297	3.0	-6319.834686976916	-5.292675876381434	
2	-6325.127362853297	3.0	-6319.834686976916	-5.292675876381434	
3	-6324.551404141919	3.0	-6319.416358462801	-5.135045679117871	
4	-6324.551404141919	3.0	-6319.416358462801	-5.135045679117871	
5	-6324.551404141919	3.0	-6319.416358462801	-5.135045679117871	
6	-6325.441544438802	3.1	-6319.276093929566	-6.165450509236171	
7	-6322.458104129889	3.5	-6316.250836682855	-6.207267447033898	
